,llava_dsg,llava-alt_dsg,mplug_dsg,blip1_dsg
0,-0.8871459504736612,-0.8729955355005825,-0.801523557138982,-0.8893579122091633
1,-0.9409585518440985,-0.7148198305966815,0.2645751311064591,-0.6921912920196209
2,-0.9384213395638529,-0.9200103960703662,-0.9472020114552441,-0.9721191025162554
3,-0.6183300132670377,-0.4063180276860006,-0.44095855184409843,-0.4063180276860006
4,-0.5747644369850695,-0.4392089204881236,-0.3718419720180422,-0.7412700777577528
5,-0.911266043662988,-0.9403905889519628,-0.8757445180125448,-0.9487412073608245
6,-0.5899621882885077,-0.9118643271182251,-0.4619109904837861,-0.5418083722152848
7,-0.7356463138776231,-0.6882046851648189,-0.6843572614078524,-0.6227982846380665
8,-0.9094555814606606,-0.9183105600036915,-0.6466939193694276,-0.8623426006686897
9,-0.7672860121893585,-0.8098166560295231,-0.693703018305603,-0.7858045152896593
10,-0.7332767639201991,-0.8227164490370615,-0.7623099880587452,-0.8680658188470097
11,-0.8491627151692686,-0.9910031398112201,-0.8491627151692686,-0.8588041277485452
12,-0.8366600265340757,-0.570057996717679,-0.6114110942264109,-0.3620529891214027
13,-0.9423209785594966,-0.930075672244976,-0.8367166750304943,-0.8212046251570428
14,-0.9799019018385875,-0.9214720750730401,-0.8592081605471585,-0.7299780538520932
15,-0.6980670789963894,-0.49558007966359247,-0.3447131310030895,0.0
16,-0.8651483716701106,-0.7055336829505575,-0.6707825127659933,-0.33431662608409723
17,-0.8853723259539504,-0.9310442777058884,-0.8342655426263386,-0.7898808476252219
18,-0.7834783849371486,-0.8651483716701106,-0.9409585518440985,-0.9409585518440985
19,-0.6359989993829889,-0.8324946819759883,-0.8041537508828057,-0.9086429133948989
20,-0.4166666666666667,-0.9636962204896987,0.27777777777777785,-0.9636962204896987
21,-1.0,-1.0,-0.9409585518440985,-1.0
22,-0.3997040325158948,-0.41281254969226894,-0.1109723605476373,-0.6281971650768844
23,-1.0,-1.0,-0.3709005551264194,-0.27386127875258304
24,-0.9409585518440985,-0.8592885651111362,-0.764575131106459,-0.7000000000000001
25,-0.403886522663742,-0.41266680753330853,-0.229350613061897,-0.4963794920079537
26,-1.0,-1.0,-1.0,-1.0
27,-0.9183300132670379,-0.9409585518440985,-0.9183300132670379,-0.9183300132670379
28,-1.0,-0.9183300132670379,-0.8819171036881969,-1.0
29,-0.27386127875258304,0.12909944487358055,-0.3290994448735805,-1.0
30,-0.8943782098797899,-0.9515610404692569,-0.8694976488614509,-0.941265024548808
31,-1.0,-1.0,-0.7302967433402214,-1.0
32,-1.0,-1.0,-0.75,-0.947213595499958
33,-0.9512740881538074,-0.9320628609642039,-0.8876909901397596,-0.9512740881538074
34,-0.9063180276860007,-0.47386127875258305,-0.6390096504226938,-1.0
35,-0.9409585518440985,-1.0,0.0,-0.9183300132670379
36,-1.0,-0.8684145693012427,-0.8948145309744802,-0.9311183104847816
37,-0.7564659925027818,-0.6005686329407791,-0.8060492576446958,-0.30960941226920163
38,-0.7564659925027818,-0.8876909901397596,-0.676923076923077,-0.8633217947490789
39,-0.8794906692052619,-0.9023736229117596,-0.7610874099192463,-0.8597555167043225
40,-0.9409585518440985,-0.9409585518440985,-0.773861278752583,-1.0
41,-0.6904832569853799,-0.4644381714939699,-0.663495793900533,-0.7857245540523147
42,-0.8716917909783282,-0.888509460457736,-0.871198699408248,-0.8394654633713163
43,-1.0,-1.0,-1.0,-1.0
44,-0.7929407404683217,-0.4486395836715192,-0.8480709507307401,-0.9512740881538074
45,-0.04491237158333978,-0.9193906584086963,-0.575389565033424,-0.9193265917316001
46,-0.843402785343349,-0.6632751604860827,-0.8248936377529856,-0.8346376483282435
47,-1.0,-1.0,0.0,-1.0
48,-0.9322213892907717,-0.9322213892907717,-0.9064540292402136,-0.965861508950383
49,-1.0,-1.0,-0.9364169019859522,-0.9364169019859522
50,-0.9024870693234415,-0.9235993856512075,-0.8640701616845621,-0.911397217004081
51,-0.9661406970737517,-0.9821974374739882,-0.961087636930093,-0.9306538972959866
52,-0.8648185143937911,-0.7645682839492165,-0.596460521679966,-0.7692307692307693
53,-0.84112405846665,-0.8365581016794059,-0.8110745383753095,-0.947407252218439
54,-0.916146338679579,-0.9362920808590415,-0.8316860757998669,-0.9893152886342723
55,-0.9364169019859522,-0.7564659925027818,-0.5156962950377253,-0.9381655709774332
56,-0.9353421990333519,-0.8709937196415416,-0.7828310570792737,-0.7685814374371139
57,-0.8674684504880046,-0.8715415505360287,-0.6766256173367332,-0.7517620073583418
58,-0.9364169019859522,-0.9364169019859522,-1.0,-0.9364169019859522
59,-0.6967704412403977,-0.6833400369861684,-0.9226270834738334,-0.8628174685473052
60,-0.9697782008611758,-0.9626205012755348,-0.9138448619770063,-0.9037985302874784
61,-0.8741343031730536,-0.9214055678838281,-0.8807123363135297,-0.7935714538896038
62,-0.8898838987601435,-0.8315796765365824,-0.7337495301723309,-0.8088405349013246
63,-0.8869184028063846,-0.7707170726847523,-0.792221467766066,-0.8250040566251583
64,-0.8974597101019617,-0.957980250978369,-0.845964531678532,-0.8425626470992904
65,-1.0,-1.0,-1.0,-1.0
66,-0.7283727051043888,-0.8117583080011201,-0.3884568534185165,-0.8378081687705664
67,-0.9022747532046941,-0.870822449719126,-0.7804767564292371,-0.8832833465540538
68,-0.895695175373667,-0.8911074133131133,-0.6174231151145041,-0.9206165331136587
69,-0.9170601918607938,-0.9119038425106558,-0.9303720559260237,-0.9218914021035204
70,-0.8198983046207505,-0.8276482570563184,-0.8340214244172546,-0.7320294593497028
71,-0.940325549045907,-0.9685082342636198,-0.7529044848222239,-0.7622241156118864
72,-0.9936269666347806,-0.9810267992845412,-0.9597635064857309,-0.8817365926794478
73,-0.9452577666011635,-0.8929287185465143,-0.7503505708195877,-0.9921489129961794
74,-0.9521013100222653,-0.6295837448571607,-0.6864988142186543,-0.8951319656553423
75,-0.8460543843362658,-0.6996059223117418,-0.9686001473169074,-0.9959022186080381
