,dsg_fuyu,dsg_llava,dsg_mplug,tifa_fuyu,tifa_llava,tifa_mplug,clipscore,blipscore,alignscore,dsg_mplug1,tifa_mplug1
0,0.024651851851851852,0.014814814814814814,0.025837037037037044,0.010041152263374485,0.007818930041152266,0.011358024691358026,1.2726820740740716,0.06462577777777778,1.5704909629629629,0.016948148148148146,0.011934156374979429
1,0.02,0.004999999999999999,0.0225,0.041600000000000005,0.004800000000000003,0.008000000000000004,2.371048,0.065524,3.8581919999999994,0.0075,0.003199999999999999
2,0.010000000000000002,0.013333333333333336,0.008333333333333333,0.0034374999999999996,0.008125,0.0031249999999999997,0.46449400000000063,0.03666,0.5818199999999998,0.008333333336666665,0.0015624999999999999
3,0.010000000000000002,0.005,0.0075,0.011111111111111112,0.002222222222222223,0.01888888888888889,2.919120000000002,0.064812,1.9464320000000002,0.004999999999999999,0.00444444444622222
4,0.024366666666666665,0.020466666666666668,0.01,0.018533333333333336,0.013299999999999998,0.012466666666666668,0.6384658333333331,0.11007383333333336,1.0887805000000008,0.02613333333333333,0.023133333333333336
5,0.006450892857142856,0.012589285714285714,0.013125,0.0201,0.001985714285714286,0.011057142857142857,1.4193034999999998,0.06242564285714285,0.868141107142857,0.005803571428571429,0.003971428571428571
6,0.010333333333333333,0.004500000000000001,0.019,0.006098090277777778,0.003428819444444445,0.012217881944444444,0.3534906944444446,0.04507444444444444,1.151434861111111,0.006,0.006553819444444445
7,0.013748148148148148,0.011614814814814814,0.028148148148148148,0.012453703703703703,0.009444444444444445,0.010902777777777777,2.262964148148148,0.043649925925925925,2.574859259259259,0.018666666666666668,0.00537037037037037
8,,0.008650000000000001,,,0.006889329805996475,,0.7137745456349208,0.027568694444444448,1.0122233055555558,0.012126190476190481,0.007924933861506615
9,0.014396758703481397,0.01802721088435375,0.008949579831932774,0.01826976102941177,0.006341911764705882,0.005388327205882355,4.293644044117647,0.04946772058823529,2.3835463970588235,0.007545018007187874,0.008965992647058822
10,0.016411394032921814,0.0016898148148148148,0.0046932870370370375,0.014929912551440333,0.011928369341563787,0.013927469135802466,1.8664562129629632,0.06401980324074073,1.719384240740741,0.006509773662683128,0.007985468107113683
11,0.022222222222222227,0.0,0.008888888888888892,0.011200000000000005,0.003199999999999999,0.012800000000000002,0.8764039999999995,0.031684000000000004,1.1422400000000004,0.008888888887111115,0.004800000000000003
12,0.021111111111111115,0.0022222222222222244,0.027777777777777787,0.004081632653061225,0.001632653061224491,0.010612244897959186,1.8838799999999996,0.055139999999999995,2.5225039999999987,0.01999999999666667,0.019591836729877556
13,0.025172361111111114,0.007617777777777776,0.021957777777777777,0.01224744897959184,0.006934240362811793,0.009526360544217686,1.5371877333333326,0.02987511111111111,1.6602361777777777,0.008742777777777776,0.005027494329862812
14,0.004166666666666666,0.0049382716049382715,0.009722222222222224,0.0095,0.004938271604938273,0.012660493827160496,1.0313977777777772,0.043955944444444436,1.3351488888888885,0.0,0.004938271603950617
15,0.040989583333333336,0.0033333333333333327,0.01390625,0.012226562500000001,0.0072265624999999995,0.009830729166666665,1.104184916666666,0.048337333333333336,0.9822535833333329,0.011874999999999998,0.0033854166666666663
16,0.06250000000000001,0.004999999999999999,0.0275,0.007777777777777781,0.013333333333333332,0.011111111111111112,2.833803999999999,0.052848000000000006,1.0753119999999996,0.030000000000000006,0.014444444445555555
17,0.0190650720164609,0.006743398491083676,0.009746227709190673,0.009130229766803841,0.005708161865569273,0.004447873799725651,1.5902444270833331,0.05080230208333333,2.304804163194445,0.006620370373074073,0.004413151578724965
18,0.024,0.003199999999999999,0.008000000000000007,,0.002469135802469136,0.0054320987654321,1.4664680000000012,0.021928,0.8540120000000003,0.011200000000000002,0.005432098764345677
19,0.010844444444444446,0.0052148148148148145,0.00894814814814815,0.014935752078609218,0.004293272864701437,0.004353741496598641,1.4533149629629631,0.051996148148148146,1.7533897777777774,0.0146962962962963,0.004021164020613756
20,0.02222222222222222,0.0,0.012345679012345684,0.005555555555555555,0.003086419753086421,0.00641975308641975,1.3958777777777782,0.08626977777777778,1.1415124444444444,0.0,0.0
21,0.027500000000000004,0.005000000000000002,0.0075,0.019374999999999996,0.0018750000000000004,0.0037500000000000003,1.7583480000000014,0.05118,0.4996999999999998,0.0,0.0018750000000000004
22,0.041666666666666664,0.013888888888888888,0.019305555555555562,0.015937500000000007,0.0034722222222222255,0.023750000000000004,5.921230500000002,0.017826375,1.4032843750000004,0.013888888894444444,0.023437500000000007
23,0.015,0.0,0.015,0.015555555555555562,0.004444444444444443,0.004444444444444449,2.824784000000002,0.108016,0.7869360000000001,0.0075,0.016666666668000006
24,0.06666666666666667,,0.00888888888888889,0.008888888888888889,0.035555555555555556,0.022222222222222227,1.6084360000000004,0.09419599999999999,0.4205639999999997,0.0,0.0
25,,0.017885346976256076,,,0.01721891534391534,,5.441061662698414,0.05499894841269841,3.9238299523809537,0.010798570117344026,0.01536458333502778
26,0.06000000000000001,0.04,0.0,0.026666666666666665,0.0,0.0,3.7609440000000007,0.04723999999999999,1.296664,0.0,0.026666666677333334
27,0.010000000000000004,0.0,0.015,0.0066666666666666706,0.0,0.015555555555555562,0.6269040000000009,0.018543999999999998,0.3344639999999998,0.037500000000000006,0.023333333329333333
28,0.045,0.004999999999999999,0.012499999999999999,0.032,0.011199999999999998,0.011199999999999998,0.7761239999999993,0.097304,0.5824240000000003,0.0,0.007999999999999997
29,0.0125,0.02,0.012499999999999999,0.024,0.012800000000000002,0.009600000000000001,3.0486960000000027,0.05634,1.7271759999999996,0.005,0.007999999999999998
